"","COUNTY.NAME","UnwelPct","pct65pls","Staffed","Beds","ICUBeds","F_Count","F_Staffed","F_Beds","F_ICUBeds","Negative","Total","PercentPositive","AREA_SQMI","E_TOTPOP","RPL_THEME1","RPL_THEME2","RPL_THEME3","RPL_THEME4","RPL_THEMES","Confirmed","Deaths","Recovered","Active","POPDEN","CASEDEN","CASEBYPOP"
"74","Robertson",16.985345927,14.393604742,109,109,8,1,109,109,8,268,296,0.0945945945945946,476.3140609,69344,0.1383,0.4149,0.9043,0.1489,0.234,28,0,0,0,145.584616731603,0.192328012592294,0.000403784033225658
"75","Rutherford",16.313719856,10.142295456,759,838,78,4,759,838,78,817,885,0.0768361581920904,619.2479587,307128,0.0319,0.3298,0.9787,0.2021,0.1809,68,0,0,0,495.96933778314,0.137105249901018,0.000221406058711677
"76","Scott",22.234589191,16.444585929,25,25,0,1,25,25,0,38,40,0.05,532.3003567,21954,0.9468,1,0,0.5851,0.9255,2,0,0,0,41.2436319526517,0.0484923345813975,9.10995718320124e-05
"77","Sequatchie",18.650519007,19.903637351,0,0,0,0,0,0,0,16,17,0.0588235294117647,265.8508607,14730,0.4362,0.7979,0.3404,0.4681,0.4574,1,0,0,0,55.4070051201455,0.0180482593822132,6.78886625933469e-05
"78","Sevier",20.052668549,19.151355005,58,79,16,1,58,79,16,168,176,0.0454545454545455,592.4876986,96287,0.3404,0.234,0.7553,0.4362,0.3723,8,0,0,0,162.513078714576,0.0492268072408529,8.30849439695909e-05
"79","Shelby",19.708326228,13.118689038,2855,3621,196,7,2359,3131,196,1943,2371,0.180514550822438,763.5744639,937005,0.3617,0.5638,0.9894,0.9468,0.8511,428,1,0,0,1227.12982727866,0.348781351806234,0.000456774510274758
"80","Smith",18.841016426,16.581788552,25,25,2,1,25,25,2,69,71,0.028169014084507,314.2949585,19458,0.1596,0.4362,0.1383,0.0532,0.0213,2,0,0,0,61.9099971977438,0.0323049602734094,0.000102785486689279
"81","Stewart",18.543187086,19.887682516,0,0,0,0,0,0,0,43,43,0,459.7758705,13301,0.4043,0.5319,0.2021,0.0319,0.117,0,0,0,0,28.9293128530981,0,0
"82","Sullivan",17.784683666,21.495564973,779,1139,92,3,696,1056,92,134,147,0.0884353741496599,413.3974983,156734,0.2447,0.6596,0.2766,0.766,0.3191,13,0,0,0,379.136304995874,0.034288459925096,8.29430755292406e-05
"83","Sumner",15.659180047,15.41311395,255,265,38,2,255,265,38,692,876,0.210045662100457,529.4033901,179473,0.0213,0.2128,0.7979,0.0745,0.0638,184,4,0,0,339.009918251749,0.542756981709784,0.00102522384982699
"84","Tipton",18.235653272,14.126715119,47,100,0,1,47,100,0,142,163,0.128834355828221,458.403998,61446,0.2234,0.6064,0.6809,0.0638,0.1702,21,0,0,0,134.043333540036,0.156665754613807,0.000341763499658237
"85","Trousdale",18.439894805,13.765744322,25,25,0,1,25,25,0,22,26,0.153846153846154,114.3416301,9573,0.6383,0.0319,0.6915,0.2021,0.383,4,0,0,0,83.7227875064202,0.0477767178940771,0.000417841846860963
"86","Unicoi",20.610969519,22.917957092,10,48,0,1,10,48,0,21,22,0.0454545454545455,186.0636889,17780,0.7234,0.9468,0.5213,0.6383,0.8723,1,0,0,0,95.5586772739729,0.0104647744038245,5.62429696287964e-05
"87","Union",20.838631833,17.955971608,0,0,0,0,0,0,0,20,21,0.0476190476190476,223.5743125,19293,0.9255,0.266,0.0851,0.8723,0.7128,1,0,0,0,86.2934555596587,0.0115883643031151,5.18322707717825e-05
"88","Van Buren",19.827179059,23.180076628,0,0,0,0,0,0,0,16,16,0,273.4152035,5704,0.883,0.4681,0.0106,0.7872,0.6277,0,0,0,0,20.862043979204,0,0
"89","Warren",21.70757775,17.39932597,100,125,8,1,100,125,8,71,72,0.0138888888888889,432.6732924,40454,0.766,0.883,0.8936,0.5851,0.9468,1,0,0,0,93.497797785496,0.0106954390764819,2.47194344193405e-05
"90","Washington",16.564490388,17.942819586,561,617,76,4,525,581,76,229,243,0.0576131687242798,326.490164,127055,0.1064,0.0851,0.4787,0.7872,0.1383,14,0,0,0,389.154143093879,0.0359754617763961,0.000110188501042855
"91","Wayne",22.539718624,19.061689682,30,80,0,1,30,80,0,17,18,0.0555555555555556,734.1088265,16649,0.7979,0.1915,0.2979,1,0.8298,1,0,0,0,22.6791987768042,0.0440932684545618,6.00636674875368e-05
"92","Weakley",20.674754739,18.282988871,78,140,0,1,38,100,0,55,56,0.0178571428571429,580.3529629,33626,0.5957,0.0957,0.5638,0.8191,0.5,1,0,0,0,57.9406019260628,0.0172590543894605,2.97388925236424e-05
"93","White",19.690358499,20.065039435,32,60,4,1,32,60,4,59,60,0.0166666666666667,376.678066,26580,0.6915,0.6809,0.0957,0.4255,0.4681,1,0,0,0,70.564236145356,0.014171484800602,3.76222723852521e-05
"94","Williamson",12.468241274,12.842917567,225,225,28,1,185,185,28,1097,1228,0.106677524429967,582.8661267,218648,0,0.0213,0.7447,0,0.0106,131,0,0,0,375.125590567279,0.349216377911986,0.000599136511653434
"95","Wilson",14.878917611,15.364770379,170,170,12,1,170,170,12,477,516,0.0755813953488372,571.0910331,132663,0.0106,0.1064,0.7766,0.0426,0.0319,39,0,0,0,232.29746627237,0.167888185031998,0.00029397797426562
